trail_name,trail_url,region,length,elevation_gain,highest_point,rating,comment_date,comment_author,comment_text,label
Maple Pass Loop,https://www.wta.org/go-hiking/hikes/maple-pass-loop,North Cascades > Methow Valley,"7.0 miles, roundtrip","2,000 feet","6,800 feet",3 out of 5 stars,"Maple Pass Loop — September 24, 2024",CascadeWanderer,Hiked this weekend. Trail is accessible but expect some snow in the upper half. The meadow section had about 6 inches of coverage which was manageable. Route finding was easy since the trail was still visible. Great day out.,modest_conditions
Wallace Falls,https://www.wta.org/go-hiking/hikes/wallace-falls,Central Cascades > Index,"5.6 miles, roundtrip","1,300 feet","1,600 feet",5 out of 5 stars,"Wallace Falls — February 17, 2025",PugetSoundTrails,"The trail is in the best shape I've seen in years. Completely dry, well-maintained, no blowdowns. Parking area was busy but we found a spot quickly. The views of the Cascades were crystal clear from the top.",hikeable
Maple Pass Loop,https://www.wta.org/go-hiking/hikes/maple-pass-loop,North Cascades > Methow Valley,"7.0 miles, roundtrip","2,000 feet","6,800 feet",5 out of 5 stars,"Maple Pass Loop — May 27, 2025",SnowpackSam,"I was nervous about conditions given recent weather but the trail was perfect. Completely clear, great traction even without poles. The logging road to the TH has some potholes but is passable in a regular car.",hikeable
Wallace Falls,https://www.wta.org/go-hiking/hikes/wallace-falls,Central Cascades > Index,"5.6 miles, roundtrip","1,300 feet","1,600 feet",1 out of 5 stars,"Wallace Falls — December 25, 2025",WeekendWarriorWendy,Impassable. We found the TH gate chained shut — no access due to snow on the road. We tried hiking in from 2 miles back but the snow depth made it impossible without snowshoes. Not worth the effort currently.,not_hikeable
Ptarmigan Ridge,https://www.wta.org/go-hiking/hikes/ptarmigan-ridge,Mt. Baker Area > Glacier,"8.8 miles, roundtrip","2,200 feet","6,500 feet",4 out of 5 stars,"Ptarmigan Ridge — August 24, 2024",RainierRoamer,The first 3 miles are completely clear and dry. After the switchbacks the trail picks up some snow coverage (maybe a foot in spots). We were glad to have microspikes. Spectacular scenery though — worth it!,modest_conditions
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",5 out of 5 stars,"Ingalls Lake — January 28, 2024",OlympicPenHiker,Perfect early season hike! No snow anywhere. Road is open with no closures. The high meadows are coming alive with early blooms. We lingered at the lake for lunch and saw osprey hunting. 10/10 recommend.,hikeable
Twin Falls,https://www.wta.org/go-hiking/hikes/twin-falls,Snoqualmie Region > North Bend Area,"2.6 miles, roundtrip",500 feet,600 feet,1 out of 5 stars,"Twin Falls — March 12, 2026",CascadeCrest2024,We attempted this trail last weekend and had to bail. The trail was completely buried. A large tree had fallen across the access road and the stream crossing was flooded and uncrossable. Unsafe conditions all around.,not_hikeable
Heliotrope Ridge,https://www.wta.org/go-hiking/hikes/heliotrope-ridge,Mt. Baker Area > Glacier,"6.0 miles, roundtrip","2,000 feet","6,100 feet",,"Heliotrope Ridge — August 13, 2025",SummitSeeker_WA,Do NOT attempt this hike right now. The upper mountain is buried under 5+ feet of snow. The TH road has a gate closure due to avalanche risk. We had to turn back 200 feet from the TH. Wait for summer conditions.,not_hikeable
Chain Lakes Loop,https://www.wta.org/go-hiking/hikes/chain-lakes-loop,Mt. Baker Area > Glacier,"6.5 miles, roundtrip","1,900 feet","5,400 feet",3 out of 5 stars,"Chain Lakes Loop — March 14, 2025",PNWPeakBagger,Road to TH had some ice this morning but nothing that required chains. Trail is clear for the first 2 miles then snow picks up. Microspikes were helpful on the steeper portions. Plan for extra time if hiking in snow.,modest_conditions
Mount Si,https://www.wta.org/go-hiking/hikes/mount-si,Snoqualmie Region > North Bend Area,"8.0 miles, roundtrip","3,150 feet","3,900 feet",3 out of 5 stars,"Mount Si — February 15, 2024",SnowpackSam,The road is open all the way to the TH. First two miles are clear. Snow starts around mile 2 and gets deeper toward the summit (18-24 inches by the top). Postholing without microspikes. Conditions manageable with proper gear.,modest_conditions
Sahale Arm,https://www.wta.org/go-hiking/hikes/sahale-arm,North Cascades > Cascade Pass,"12.0 miles, roundtrip","3,900 feet","7,600 feet",4 out of 5 stars,"Sahale Arm — March 12, 2024",SnowpackSam,"Nice hike but definitely late season snow conditions. The first mile is totally dry, but after the first switchback set you start hitting snow. We had microspikes and it was fine, but I'd call these 'moderate winter conditions' overall.",modest_conditions
Twin Falls,https://www.wta.org/go-hiking/hikes/twin-falls,Snoqualmie Region > North Bend Area,"2.6 miles, roundtrip",500 feet,600 feet,3 out of 5 stars,"Twin Falls — November 14, 2025",WeekendWarriorWendy,The road is open all the way to the TH. First two miles are clear. Snow starts around mile 2 and gets deeper toward the summit (18-24 inches by the top). Postholing without microspikes. Conditions manageable with proper gear.,modest_conditions
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",1 out of 5 stars,"Lake Ann — April 26, 2024",HikingWithHuskies,DO NOT GO. Fresh snowfall (3+ feet) in the last 48 hours has made this trail completely unnavigable. We couldn't find the trail at all past the parking area. One member of our group postholed to mid-thigh. Turn back.,not_hikeable
Chain Lakes Loop,https://www.wta.org/go-hiking/hikes/chain-lakes-loop,Mt. Baker Area > Glacier,"6.5 miles, roundtrip","1,900 feet","5,400 feet",5 out of 5 stars,"Chain Lakes Loop — March 21, 2025",ClearCreekHiker,The trail is fully accessible and snow-free. The creek crossing at mile 1.5 is easily fordable with dry boots. Wildflowers in the meadow section were incredible. We'll definitely be back.,hikeable
Mailbox Peak,https://www.wta.org/go-hiking/hikes/mailbox-peak-new-trail,Snoqualmie Region > North Bend Area,"9.4 miles, roundtrip","4,000 feet","4,831 feet",5 out of 5 stars,"Mailbox Peak — March 11, 2024",GlacierPeakPatrol,"Gorgeous hike today with friends. Dry trail from start to finish. No road closures, parking fee station was staffed. We hiked the full route including the off-trail scramble to the viewpoint. No issues at all.",hikeable
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",4 out of 5 stars,"Goat Lake — February 2, 2024",SummitSeeker_WA,Just got back from a wonderful day out here. Trail is completely clear of snow. Wildflowers are starting to come up near the upper meadows. Bring plenty of water as there are limited reliable sources right now.,hikeable
Annette Lake,https://www.wta.org/go-hiking/hikes/annette-lake,Snoqualmie Region > Snoqualmie Pass,"7.5 miles, roundtrip","1,300 feet","3,600 feet",3 out of 5 stars,"Annette Lake — September 1, 2024",RainierRoamer,Decent conditions with some caveats. Bottom third of the trail is snow-free. Middle third has some patches and requires careful footing. Top third is covered but packed down from other hikers. Microspikes helpful.,modest_conditions
Ptarmigan Ridge,https://www.wta.org/go-hiking/hikes/ptarmigan-ridge,Mt. Baker Area > Glacier,"8.8 miles, roundtrip","2,200 feet","6,500 feet",4 out of 5 stars,"Ptarmigan Ridge — September 23, 2024",MossyBoots42,The road is open all the way to the TH. First two miles are clear. Snow starts around mile 2 and gets deeper toward the summit (18-24 inches by the top). Postholing without microspikes. Conditions manageable with proper gear.,modest_conditions
Mount Si,https://www.wta.org/go-hiking/hikes/mount-si,Snoqualmie Region > North Bend Area,"8.0 miles, roundtrip","3,150 feet","3,900 feet",2 out of 5 stars,"Mount Si — April 18, 2024",HikingWithHuskies,We attempted this trail last weekend and had to bail. The trail was completely buried. A large tree had fallen across the access road and the stream crossing was flooded and uncrossable. Unsafe conditions all around.,not_hikeable
Mailbox Peak,https://www.wta.org/go-hiking/hikes/mailbox-peak-new-trail,Snoqualmie Region > North Bend Area,"9.4 miles, roundtrip","4,000 feet","4,831 feet",1 out of 5 stars,"Mailbox Peak — May 25, 2024",SnowpackSam,Do NOT attempt this hike right now. The upper mountain is buried under 5+ feet of snow. The TH road has a gate closure due to avalanche risk. We had to turn back 200 feet from the TH. Wait for summer conditions.,not_hikeable
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",2 out of 5 stars,"Lake Ann — August 25, 2024",MossyBoots42,Total closure. The county has closed the forest service road due to flooding and rockfall. Even if you could get to the TH the trail is completely under snow. Multiple party turned back when we were there.,not_hikeable
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",5 out of 5 stars,"Goat Lake — February 20, 2025",HikingWithHuskies,"Hiked this today with my family including two young kids. Trail was in perfect condition — dry, well-signed, and clear. We saw a black bear near the upper switchbacks but it ran off immediately. No hazards to report.",hikeable
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",4 out of 5 stars,"Ingalls Lake — November 13, 2025",ClearCreekHiker,The road is open all the way to the TH. First two miles are clear. Snow starts around mile 2 and gets deeper toward the summit (18-24 inches by the top). Postholing without microspikes. Conditions manageable with proper gear.,modest_conditions
Ptarmigan Ridge,https://www.wta.org/go-hiking/hikes/ptarmigan-ridge,Mt. Baker Area > Glacier,"8.8 miles, roundtrip","2,200 feet","6,500 feet",4 out of 5 stars,"Ptarmigan Ridge — July 6, 2024",TrailConditionsTed,The trail is fully accessible and snow-free. The creek crossing at mile 1.5 is easily fordable with dry boots. Wildflowers in the meadow section were incredible. We'll definitely be back.,hikeable
Wallace Falls,https://www.wta.org/go-hiking/hikes/wallace-falls,Central Cascades > Index,"5.6 miles, roundtrip","1,300 feet","1,600 feet",5 out of 5 stars,"Wallace Falls — March 30, 2024",SnoqualmieSusan,Wonderful hiking today. Trail opens up at the top with stunning 360 degree views and absolutely no snow in sight. Recommend starting early to beat the afternoon heat. Trail is well-maintained and signed.,hikeable
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",4 out of 5 stars,"Ingalls Lake — May 4, 2024",PugetSoundTrails,The first 3 miles are completely clear and dry. After the switchbacks the trail picks up some snow coverage (maybe a foot in spots). We were glad to have microspikes. Spectacular scenery though — worth it!,modest_conditions
Twin Falls,https://www.wta.org/go-hiking/hikes/twin-falls,Snoqualmie Region > North Bend Area,"2.6 miles, roundtrip",500 feet,600 feet,3 out of 5 stars,"Twin Falls — September 19, 2025",WeekendWarriorWendy,Trail is passable but not summer conditions. There's 1-2 feet of snow from the upper meadows to the top. Microspikes essential. The lower forest section is completely clear and pleasant. A gorgeous but demanding hike right now.,modest_conditions
Ptarmigan Ridge,https://www.wta.org/go-hiking/hikes/ptarmigan-ridge,Mt. Baker Area > Glacier,"8.8 miles, roundtrip","2,200 feet","6,500 feet",2 out of 5 stars,"Ptarmigan Ridge — October 28, 2025",BackcountryBridget,"Not hikeable right now. Road is impassable due to a rockslide. Even with clear roads, the trail is completely under snow from bottom to top. We could see from a distance — no exposed trail anywhere. Wait for late summer.",not_hikeable
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",1 out of 5 stars,"Ingalls Lake — March 28, 2024",FernGullyHiker,Impassable. We found the TH gate chained shut — no access due to snow on the road. We tried hiking in from 2 miles back but the snow depth made it impossible without snowshoes. Not worth the effort currently.,not_hikeable
Mount Pilchuck,https://www.wta.org/go-hiking/hikes/mount-pilchuck,Mountain Loop Highway > Granite Falls,"5.4 miles, roundtrip","2,200 feet","5,324 feet",3 out of 5 stars,"Mount Pilchuck — April 26, 2025",MossyBoots42,Snow begins just past the main viewpoint. Lower sections are clear and pleasant. Some sections of icy trail on the shaded side of the ridge. We managed fine with poles and microspikes. Fewer people than usual.,modest_conditions
Sahale Arm,https://www.wta.org/go-hiking/hikes/sahale-arm,North Cascades > Cascade Pass,"12.0 miles, roundtrip","3,900 feet","7,600 feet",2 out of 5 stars,"Sahale Arm — May 21, 2025",TrailBlazerPNW,Heavy recent snowfall has completely covered the trail. We couldn't find the route above the TH. No other footprints. The road had a closure sign posted 3 miles before the TH. Save yourself the frustration and wait.,not_hikeable
Mount Si,https://www.wta.org/go-hiking/hikes/mount-si,Snoqualmie Region > North Bend Area,"8.0 miles, roundtrip","3,150 feet","3,900 feet",4 out of 5 stars,"Mount Si — September 25, 2025",PNWPeakBagger,Perfect early season hike! No snow anywhere. Road is open with no closures. The high meadows are coming alive with early blooms. We lingered at the lake for lunch and saw osprey hunting. 10/10 recommend.,hikeable
Mount Si,https://www.wta.org/go-hiking/hikes/mount-si,Snoqualmie Region > North Bend Area,"8.0 miles, roundtrip","3,150 feet","3,900 feet",4 out of 5 stars,"Mount Si — January 24, 2025",CascadeCrest2024,Trail has some patchy snow starting around mile 2.5 near the ridgeline. Lower portions are clear and dry. Microspikes helpful but not required if you're careful. Beautiful conditions overall with just a hint of winter lingering.,modest_conditions
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",3 out of 5 stars,"Ingalls Lake — March 30, 2026",SnoqualmieSusan,"Conditions are 'mostly hikeable' with the right gear. Trail is clear from TH to the creek. After the creek there are intermittent snow patches, becoming continuous above 4,500 feet. Go prepared with traction devices.",modest_conditions
Chain Lakes Loop,https://www.wta.org/go-hiking/hikes/chain-lakes-loop,Mt. Baker Area > Glacier,"6.5 miles, roundtrip","1,900 feet","5,400 feet",5 out of 5 stars,"Chain Lakes Loop — January 30, 2026",CascadeWanderer,Road to TH is open and in good condition. Trail is snow-free all the way. Some light mud near the stream crossings. We did the full loop and encountered maybe 8-10 other groups. A gem of a hike!,hikeable
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",3 out of 5 stars,"Lake Ann — March 17, 2026",AlpineAdventurer,"Hiked this yesterday. Conditions were mixed — lower trail is perfect, but there's a continuous snow band from about the junction to the summit. Maybe 6-8 inches. Microspikes were needed. Road was open.",modest_conditions
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",4 out of 5 stars,"Goat Lake — December 9, 2024",SnowpackSam,Some snow on the upper reaches of the trail above mile 3. The lower trail is easy going. Bring microspikes just in case. Trail is well-marked even under shallow snow. Gorgeous views from the high point.,modest_conditions
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",4 out of 5 stars,"Ingalls Lake — June 2, 2025",FernGullyHiker,Road to TH is open and in good condition. Trail is snow-free all the way. Some light mud near the stream crossings. We did the full loop and encountered maybe 8-10 other groups. A gem of a hike!,hikeable
Mount Si,https://www.wta.org/go-hiking/hikes/mount-si,Snoqualmie Region > North Bend Area,"8.0 miles, roundtrip","3,150 feet","3,900 feet",4 out of 5 stars,"Mount Si — November 19, 2024",MossyBoots42,"Did this hike on a clear sunny weekday. Trail was dry and in excellent condition, no snow whatsoever. Met a trail crew doing some maintenance near mile 3 — give them a wave! Spectacular scenery all the way.",hikeable
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",4 out of 5 stars,"Goat Lake — November 30, 2024",WeekendWarriorWendy,Some lingering snow on the upper sections. Most of the lower trail is ice-free. There's one tricky icy traverse near the summit block — caution advised without microspikes. Otherwise perfectly enjoyable.,modest_conditions
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",3 out of 5 stars,"Ingalls Lake — April 24, 2024",TrailBlazerPNW,The first 3 miles are completely clear and dry. After the switchbacks the trail picks up some snow coverage (maybe a foot in spots). We were glad to have microspikes. Spectacular scenery though — worth it!,modest_conditions
Maple Pass Loop,https://www.wta.org/go-hiking/hikes/maple-pass-loop,North Cascades > Methow Valley,"7.0 miles, roundtrip","2,000 feet","6,800 feet",5 out of 5 stars,"Maple Pass Loop — July 7, 2025",PNWPeakBagger,Just got back from a wonderful day out here. Trail is completely clear of snow. Wildflowers are starting to come up near the upper meadows. Bring plenty of water as there are limited reliable sources right now.,hikeable
Twin Falls,https://www.wta.org/go-hiking/hikes/twin-falls,Snoqualmie Region > North Bend Area,"2.6 miles, roundtrip",500 feet,600 feet,3 out of 5 stars,"Twin Falls — April 1, 2026",TrailConditionsTed,"Conditions are 'mostly hikeable' with the right gear. Trail is clear from TH to the creek. After the creek there are intermittent snow patches, becoming continuous above 4,500 feet. Go prepared with traction devices.",modest_conditions
Heliotrope Ridge,https://www.wta.org/go-hiking/hikes/heliotrope-ridge,Mt. Baker Area > Glacier,"6.0 miles, roundtrip","2,000 feet","6,100 feet",,"Heliotrope Ridge — January 18, 2026",TrailConditionsTed,Full snowpack from TH onwards. This trail is NOT currently hikeable without mountaineering gear. The approach was post-hole hell. We gave up at the first major viewpoint and descended safely. Check back in July.,not_hikeable
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",5 out of 5 stars,"Goat Lake — September 3, 2024",MossyBoots42,Just got back from a wonderful day out here. Trail is completely clear of snow. Wildflowers are starting to come up near the upper meadows. Bring plenty of water as there are limited reliable sources right now.,hikeable
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",3 out of 5 stars,"Goat Lake — September 17, 2025",HikingWithHuskies,Road to TH had some ice this morning but nothing that required chains. Trail is clear for the first 2 miles then snow picks up. Microspikes were helpful on the steeper portions. Plan for extra time if hiking in snow.,modest_conditions
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",3 out of 5 stars,"Goat Lake — February 2, 2025",TrailConditionsTed,Trail has some patchy snow starting around mile 2.5 near the ridgeline. Lower portions are clear and dry. Microspikes helpful but not required if you're careful. Beautiful conditions overall with just a hint of winter lingering.,modest_conditions
Mount Pilchuck,https://www.wta.org/go-hiking/hikes/mount-pilchuck,Mountain Loop Highway > Granite Falls,"5.4 miles, roundtrip","2,200 feet","5,324 feet",4 out of 5 stars,"Mount Pilchuck — February 12, 2024",RainierRoamer,"Nice hike but definitely late season snow conditions. The first mile is totally dry, but after the first switchback set you start hitting snow. We had microspikes and it was fine, but I'd call these 'moderate winter conditions' overall.",modest_conditions
