trail_name,trail_url,region,length,elevation_gain,highest_point,rating,comment_date,comment_author,comment_text,label,apparent_temperature,snow_depth,snowfall,us_aqi,weather_code,wind_gusts_10m_max,precipitation_probability_max,date_hiked,trail_conditions,road_conditions,snow,bugs
Wallace Falls,https://www.wta.org/go-hiking/hikes/wallace-falls,Central Cascades > Index,"5.6 miles, roundtrip","1,300 feet","1,600 feet",1 out of 5 stars,"Wallace Falls — December 25, 2025",WeekendWarriorWendy,Impassable. We found the TH gate chained shut — no access due to snow on the road. We tried hiking in from 2 miles back but the snow depth made it impossible without snowshoes. Not worth the effort currently.,not_hikeable,25,58,19,18,77,49,65,2025-12-25,"Heavy snow, trail buried",Road impassable/closed,Continuous snow cover,No bugs
Ptarmigan Ridge,https://www.wta.org/go-hiking/hikes/ptarmigan-ridge,Mt. Baker Area > Glacier,"8.8 miles, roundtrip","2,200 feet","6,500 feet",4 out of 5 stars,"Ptarmigan Ridge — August 24, 2024",RainierRoamer,The first 3 miles are completely clear and dry. After the switchbacks the trail picks up some snow coverage (maybe a foot in spots). We were glad to have microspikes. Spectacular scenery though — worth it!,modest_conditions,57,0,0,40,61,16,47,2024-08-24,Snow on trail,Road suitable for all vehicles,Patchy snow,Some bugs
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",5 out of 5 stars,"Ingalls Lake — January 28, 2024",OlympicPenHiker,Perfect early season hike! No snow anywhere. Road is open with no closures. The high meadows are coming alive with early blooms. We lingered at the lake for lunch and saw osprey hunting. 10/10 recommend.,hikeable,37,0,0,30,1,14,15,2024-01-28,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Twin Falls,https://www.wta.org/go-hiking/hikes/twin-falls,Snoqualmie Region > North Bend Area,"2.6 miles, roundtrip",500 feet,600 feet,1 out of 5 stars,"Twin Falls — March 12, 2026",CascadeCrest2024,We attempted this trail last weekend and had to bail. The trail was completely buried. A large tree had fallen across the access road and the stream crossing was flooded and uncrossable. Unsafe conditions all around.,not_hikeable,40,27,14,34,86,50,97,2026-03-12,Obstacles on trail: Trees down,Road suitable for all vehicles,Snow free,No bugs
Heliotrope Ridge,https://www.wta.org/go-hiking/hikes/heliotrope-ridge,Mt. Baker Area > Glacier,"6.0 miles, roundtrip","2,000 feet","6,100 feet",,"Heliotrope Ridge — August 13, 2025",SummitSeeker_WA,Do NOT attempt this hike right now. The upper mountain is buried under 5+ feet of snow. The TH road has a gate closure due to avalanche risk. We had to turn back 200 feet from the TH. Wait for summer conditions.,not_hikeable,53,1,0,25,71,42,88,2025-08-13,"Heavy snow, trail buried",Road suitable for all vehicles,Continuous snow cover,Some bugs
Chain Lakes Loop,https://www.wta.org/go-hiking/hikes/chain-lakes-loop,Mt. Baker Area > Glacier,"6.5 miles, roundtrip","1,900 feet","5,400 feet",3 out of 5 stars,"Chain Lakes Loop — March 14, 2025",PNWPeakBagger,Road to TH had some ice this morning but nothing that required chains. Trail is clear for the first 2 miles then snow picks up. Microspikes were helpful on the steeper portions. Plan for extra time if hiking in snow.,modest_conditions,44,7,10,32,63,14,25,2025-03-14,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Mount Si,https://www.wta.org/go-hiking/hikes/mount-si,Snoqualmie Region > North Bend Area,"8.0 miles, roundtrip","3,150 feet","3,900 feet",3 out of 5 stars,"Mount Si — February 15, 2024",SnowpackSam,The road is open all the way to the TH. First two miles are clear. Snow starts around mile 2 and gets deeper toward the summit (18-24 inches by the top). Postholing without microspikes. Conditions manageable with proper gear.,modest_conditions,39,29,10,23,2,26,54,2024-02-15,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Sahale Arm,https://www.wta.org/go-hiking/hikes/sahale-arm,North Cascades > Cascade Pass,"12.0 miles, roundtrip","3,900 feet","7,600 feet",4 out of 5 stars,"Sahale Arm — March 12, 2024",SnowpackSam,"Nice hike but definitely late season snow conditions. The first mile is totally dry, but after the first switchback set you start hitting snow. We had microspikes and it was fine, but I'd call these 'moderate winter conditions' overall.",modest_conditions,30,9,0,46,51,22,35,2024-03-12,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Twin Falls,https://www.wta.org/go-hiking/hikes/twin-falls,Snoqualmie Region > North Bend Area,"2.6 miles, roundtrip",500 feet,600 feet,3 out of 5 stars,"Twin Falls — November 14, 2025",WeekendWarriorWendy,The road is open all the way to the TH. First two miles are clear. Snow starts around mile 2 and gets deeper toward the summit (18-24 inches by the top). Postholing without microspikes. Conditions manageable with proper gear.,modest_conditions,54,17,2,27,2,21,38,2025-11-14,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",1 out of 5 stars,"Lake Ann — April 26, 2024",HikingWithHuskies,DO NOT GO. Fresh snowfall (3+ feet) in the last 48 hours has made this trail completely unnavigable. We couldn't find the trail at all past the parking area. One member of our group postholed to mid-thigh. Turn back.,not_hikeable,27,74,14,16,71,52,67,2024-04-26,"Heavy snow, trail buried",Road suitable for all vehicles,Continuous snow cover,No bugs
Chain Lakes Loop,https://www.wta.org/go-hiking/hikes/chain-lakes-loop,Mt. Baker Area > Glacier,"6.5 miles, roundtrip","1,900 feet","5,400 feet",5 out of 5 stars,"Chain Lakes Loop — March 21, 2025",ClearCreekHiker,The trail is fully accessible and snow-free. The creek crossing at mile 1.5 is easily fordable with dry boots. Wildflowers in the meadow section were incredible. We'll definitely be back.,hikeable,45,0,0,5,2,14,0,2025-03-21,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Mailbox Peak,https://www.wta.org/go-hiking/hikes/mailbox-peak-new-trail,Snoqualmie Region > North Bend Area,"9.4 miles, roundtrip","4,000 feet","4,831 feet",5 out of 5 stars,"Mailbox Peak — March 11, 2024",GlacierPeakPatrol,"Gorgeous hike today with friends. Dry trail from start to finish. No road closures, parking fee station was staffed. We hiked the full route including the off-trail scramble to the viewpoint. No issues at all.",hikeable,52,0,0,25,2,20,20,2024-03-11,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",4 out of 5 stars,"Goat Lake — February 2, 2024",SummitSeeker_WA,Just got back from a wonderful day out here. Trail is completely clear of snow. Wildflowers are starting to come up near the upper meadows. Bring plenty of water as there are limited reliable sources right now.,hikeable,35,0,0,25,0,10,22,2024-02-02,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Annette Lake,https://www.wta.org/go-hiking/hikes/annette-lake,Snoqualmie Region > Snoqualmie Pass,"7.5 miles, roundtrip","1,300 feet","3,600 feet",3 out of 5 stars,"Annette Lake — September 1, 2024",RainierRoamer,Decent conditions with some caveats. Bottom third of the trail is snow-free. Middle third has some patches and requires careful footing. Top third is covered but packed down from other hikers. Microspikes helpful.,modest_conditions,51,0,0,25,2,30,32,2024-09-01,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Ptarmigan Ridge,https://www.wta.org/go-hiking/hikes/ptarmigan-ridge,Mt. Baker Area > Glacier,"8.8 miles, roundtrip","2,200 feet","6,500 feet",4 out of 5 stars,"Ptarmigan Ridge — September 23, 2024",MossyBoots42,The road is open all the way to the TH. First two miles are clear. Snow starts around mile 2 and gets deeper toward the summit (18-24 inches by the top). Postholing without microspikes. Conditions manageable with proper gear.,modest_conditions,34,0,0,35,51,29,37,2024-09-23,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Mount Si,https://www.wta.org/go-hiking/hikes/mount-si,Snoqualmie Region > North Bend Area,"8.0 miles, roundtrip","3,150 feet","3,900 feet",2 out of 5 stars,"Mount Si — April 18, 2024",HikingWithHuskies,We attempted this trail last weekend and had to bail. The trail was completely buried. A large tree had fallen across the access road and the stream crossing was flooded and uncrossable. Unsafe conditions all around.,not_hikeable,34,42,26,34,73,43,68,2024-04-18,Obstacles on trail: Trees down,Road suitable for all vehicles,Snow free,No bugs
Mailbox Peak,https://www.wta.org/go-hiking/hikes/mailbox-peak-new-trail,Snoqualmie Region > North Bend Area,"9.4 miles, roundtrip","4,000 feet","4,831 feet",1 out of 5 stars,"Mailbox Peak — May 25, 2024",SnowpackSam,Do NOT attempt this hike right now. The upper mountain is buried under 5+ feet of snow. The TH road has a gate closure due to avalanche risk. We had to turn back 200 feet from the TH. Wait for summer conditions.,not_hikeable,41,9,0,38,77,28,100,2024-05-25,"Heavy snow, trail buried",Road suitable for all vehicles,Continuous snow cover,No bugs
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",2 out of 5 stars,"Lake Ann — August 25, 2024",MossyBoots42,Total closure. The county has closed the forest service road due to flooding and rockfall. Even if you could get to the TH the trail is completely under snow. Multiple party turned back when we were there.,not_hikeable,38,2,0,35,85,55,81,2024-08-25,"Heavy snow, trail buried",Road suitable for all vehicles,Continuous snow cover,Some bugs
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",5 out of 5 stars,"Goat Lake — February 20, 2025",HikingWithHuskies,"Hiked this today with my family including two young kids. Trail was in perfect condition — dry, well-signed, and clear. We saw a black bear near the upper switchbacks but it ran off immediately. No hazards to report.",hikeable,31,0,0,8,2,5,4,2025-02-20,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",4 out of 5 stars,"Ingalls Lake — November 13, 2025",ClearCreekHiker,The road is open all the way to the TH. First two miles are clear. Snow starts around mile 2 and gets deeper toward the summit (18-24 inches by the top). Postholing without microspikes. Conditions manageable with proper gear.,modest_conditions,56,15,4,39,1,27,40,2025-11-13,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Ptarmigan Ridge,https://www.wta.org/go-hiking/hikes/ptarmigan-ridge,Mt. Baker Area > Glacier,"8.8 miles, roundtrip","2,200 feet","6,500 feet",4 out of 5 stars,"Ptarmigan Ridge — July 6, 2024",TrailConditionsTed,The trail is fully accessible and snow-free. The creek crossing at mile 1.5 is easily fordable with dry boots. Wildflowers in the meadow section were incredible. We'll definitely be back.,hikeable,55,0,0,26,0,18,11,2024-07-06,Trail clear - no snow,Road suitable for all vehicles,Snow free,Some bugs
Wallace Falls,https://www.wta.org/go-hiking/hikes/wallace-falls,Central Cascades > Index,"5.6 miles, roundtrip","1,300 feet","1,600 feet",5 out of 5 stars,"Wallace Falls — March 30, 2024",SnoqualmieSusan,Wonderful hiking today. Trail opens up at the top with stunning 360 degree views and absolutely no snow in sight. Recommend starting early to beat the afternoon heat. Trail is well-maintained and signed.,hikeable,56,0,0,27,2,13,2,2024-03-30,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",4 out of 5 stars,"Ingalls Lake — May 4, 2024",PugetSoundTrails,The first 3 miles are completely clear and dry. After the switchbacks the trail picks up some snow coverage (maybe a foot in spots). We were glad to have microspikes. Spectacular scenery though — worth it!,modest_conditions,50,13,0,35,61,24,47,2024-05-04,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Twin Falls,https://www.wta.org/go-hiking/hikes/twin-falls,Snoqualmie Region > North Bend Area,"2.6 miles, roundtrip",500 feet,600 feet,3 out of 5 stars,"Twin Falls — September 19, 2025",WeekendWarriorWendy,Trail is passable but not summer conditions. There's 1-2 feet of snow from the upper meadows to the top. Microspikes essential. The lower forest section is completely clear and pleasant. A gorgeous but demanding hike right now.,modest_conditions,42,0,0,14,63,17,37,2025-09-19,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Ptarmigan Ridge,https://www.wta.org/go-hiking/hikes/ptarmigan-ridge,Mt. Baker Area > Glacier,"8.8 miles, roundtrip","2,200 feet","6,500 feet",2 out of 5 stars,"Ptarmigan Ridge — October 28, 2025",BackcountryBridget,"Not hikeable right now. Road is impassable due to a rockslide. Even with clear roads, the trail is completely under snow from bottom to top. We could see from a distance — no exposed trail anywhere. Wait for late summer.",not_hikeable,26,4,0,39,73,39,63,2025-10-28,"Heavy snow, trail buried",Road impassable/closed,Continuous snow cover,No bugs
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",1 out of 5 stars,"Ingalls Lake — March 28, 2024",FernGullyHiker,Impassable. We found the TH gate chained shut — no access due to snow on the road. We tried hiking in from 2 miles back but the snow depth made it impossible without snowshoes. Not worth the effort currently.,not_hikeable,34,37,22,31,71,47,92,2024-03-28,"Heavy snow, trail buried",Road impassable/closed,Continuous snow cover,No bugs
Mount Pilchuck,https://www.wta.org/go-hiking/hikes/mount-pilchuck,Mountain Loop Highway > Granite Falls,"5.4 miles, roundtrip","2,200 feet","5,324 feet",3 out of 5 stars,"Mount Pilchuck — April 26, 2025",MossyBoots42,Snow begins just past the main viewpoint. Lower sections are clear and pleasant. Some sections of icy trail on the shaded side of the ridge. We managed fine with poles and microspikes. Fewer people than usual.,modest_conditions,35,11,0,13,2,16,38,2025-04-26,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Sahale Arm,https://www.wta.org/go-hiking/hikes/sahale-arm,North Cascades > Cascade Pass,"12.0 miles, roundtrip","3,900 feet","7,600 feet",2 out of 5 stars,"Sahale Arm — May 21, 2025",TrailBlazerPNW,Heavy recent snowfall has completely covered the trail. We couldn't find the route above the TH. No other footprints. The road had a closure sign posted 3 miles before the TH. Save yourself the frustration and wait.,not_hikeable,28,5,0,24,75,36,63,2025-05-21,"Heavy snow, trail buried",Road suitable for all vehicles,Continuous snow cover,No bugs
Mount Si,https://www.wta.org/go-hiking/hikes/mount-si,Snoqualmie Region > North Bend Area,"8.0 miles, roundtrip","3,150 feet","3,900 feet",4 out of 5 stars,"Mount Si — September 25, 2025",PNWPeakBagger,Perfect early season hike! No snow anywhere. Road is open with no closures. The high meadows are coming alive with early blooms. We lingered at the lake for lunch and saw osprey hunting. 10/10 recommend.,hikeable,47,0,0,10,1,6,3,2025-09-25,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
